1,3447
3,5053
4,6247
2,7805
6,8955
7,10135
2,11384
1,12415
5,13615
8,14765
6,15875
3,17025
9,18233
4,19397
2,20515
6,21865
3,22985
2,24077
4,25164
1,26205
7,27505
0,28705
5,30264
6,31504
2,32785
9,34016
3,35246
8,36385
6,37645
4,38775
1,40004
2,41224
3,42477
5,43687
7,44825
6,46143
0,47313
6,48554
9,49842
3,51132
2,52301
1,53564
8,54873
9,55854
0,56964
0,58245
6,59466
5,60616
3,61806
2,62994
4,64052
1,65072
3,66325
5,67504
6,68635
9,69783
2,70914
7,71995
8,73165
9,74274
6,75493
3,76604
2,77854
4,78915
1,80065
7,81275
8,82534
0,83544
8,84785
1,85754
0,87036
7,88362
9,89535
8,90665
2,91854
3,93063
6,94305
3,95627
4,96927
5,98296
7,99425
6,100543
3,102135
1,103164
9,104485
8,105695
0,106874
6,108164
2,109404
1,110434
5,111674
3,112965
4,114113
2,115442
6,116594
5,117786
1,118955
7,120086
4,121367
2,122766
8,123934
3,125204
9,126384
5,127674
0,128742
9,130045
6,131335
2,132577
4,133744
3,135115
6,136434
5,137582
1,138855
7,139886
9,141355
0,142433
9,143844
4,144955
1,146225
3,147584
6,148963
9,150047
8,151192
6,152574
5,153765
4,154814
2,156161
7,157375
3,158556
9,159775
2,160714
1,161794
4,162905
6,164014
5,165244
2,166455
4,167535
7,168615
3,169845
0,171023
6,172403
1,173593
5,175016
2,176474
4,177654
7,178725
8,180016
9,181324
0,182454
5,183794
6,185093
3,186305
2,187643
1,188895
9,190007
6,191314
3,192505
4,193585
7,194674
5,195924
0,196985
8,198294
2,199593
1,200766
6,201946
4,203024
3,204194
5,205525
7,206643
9,207965
6,209227
1,210405
4,211653
2,213135
3,214416
8,215724
6,216994
4,218244
5,219585
7,220845
3,222215
9,223664
2,225205
4,226574
1,227964
5,229324
8,230544
0,231682
8,233013
5,234474
2,235686
3,236934
6,238125
4,239265
7,240315
5,241412
2,242494
1,243594
6,244684
3,245944
9,247095
8,248174
6,249454
0,250535
5,251835
4,253134
2,254615
1,255775
3,256912
7,257944
5,259244
8,260385
6,261454
2,262693
4,263707
9,264883
3,266044
5,267254
6,268384
2,269604
4,270666
3,271804
1,272863
5,273944
6,275106
9,276195
7,277344
8,278524
6,279623
3,280824
2,282072
4,283124
1,284183
5,285403
7,286394
9,287504
0,288572
8,289724
6,290797
3,292034
2,293264
5,294434
3,295616
1,296674
6,297846
9,298985
4,300115
7,301174
2,302485
6,303883
1,304824
3,306166
4,307454
5,308567
6,309784
9,311034
2,312385
1,313604
3,315005
5,316455
4,317494
8,318644
6,319813
0,321095
9,322353
7,323544
5,324785
4,326034
2,327176
6,328456
3,329845
8,330985
9,332034
6,333295
5,334552
4,335676
2,336952
1,337983
7,339024
3,340164
6,341435
5,342704
4,343754
8,344974
9,346157
6,347294
4,348525
7,349534
3,350747
1,351904
5,353212
6,354266
8,355435
0,356505
9,357724
2,359085
6,360524
3,361794
4,363174
7,364264
5,365424
1,366663
8,367874
6,369173
4,370364
2,371497
3,372705
5,373914
1,375192
6,376395
9,377686
8,378883
7,379964
4,381103
6,382306
2,383474
3,384724
5,385945
8,387154
1,388225
9,389456
6,390526
7,391652
2,392874
0,394114
0,395315
0,396464
0,397563
6,398714
2,399964
3,401055
4,402515
6,404174
5,405705
1,406924
2,408186
7,409274
9,410436
6,411635
4,412825
5,414164
7,415195
3,416364
1,417594
6,418796
8,420026
2,421284
5,422484
0,423805
6,425006
